Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
44,Bannerughatta1,13th-14th Century,Self Sacrifice,12.8136587,77.5797897,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,Many types,Unclear,Moderately elaborate,1,Not inscribed
45,Bannerughatta10,10th-11th Century,Self Sacrifice,12.813753,77.579773,1,Female (dress and anatomy),Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear,Semi-moderate,1,Not inscribed
46,Bannerughatta11,14th-15th Century,Unclear Cause,12.8138003,77.5798084,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
47,Bannerughatta12,14th-15th Century,Skirmish,12.8137881,77.5798446,1,"M (dress, anatomy)",Not transported,Jain -- yaksha at top,Unclear,Rich??? -- lots of jewels,RH,Moderately elaborate,1,Not inscribed
48,Bannerughatta13,13th-14th Century,Cattle Raiding,12.8135495,77.5804304,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
49,Bannerughatta14,13th-14th Century,Sati (Veera Masti),12.81354,77.58043,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,"Hindu (shivalinga, Nandi bull -- although heroes are not seen worshipping them)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; unclear,Moderately elaborate,3,Not inscribed
50,Bannerughatta2,14th-15th Century,Unclear Cause,12.813806,77.580901,1,"M (dress, anatomy)",Not transported,"Modern Hindu signs, but unclear",Unclear,"Poor - no jewels, horses, parasols",Unclear,Semi-moderate,1,Not inscribed
51,Bannerughatta3,13th-14th Century,Self Sacrifice,12.813758,77.57982,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,"Hindu (shivalinga, Nandi bull -- although heroes are not seen worshipping them)",Unclear,"Poor - no jewels, horses, parasols",Unclear; unclear,Semi-moderate,2,Not inscribed
52,Bannerughatta4,14th-15th Century,Skirmish,12.813765,77.579735,1,"M (dress, anatomy)",Not transported,"Hindu (shivalinga, Nandi bull -- although heroes are not seen worshipping them)",Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
53,Bannerughatta5,15th-16th Century,Sati (Veera Masti),12.813777,77.579742,3 (1M; 2F),"M,F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear; unclear; unclear,Moderately elaborate,1,Not inscribed
54,Bannerughatta6,15th-16th Century,Sati (Veera Masti),12.81381,77.579796,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
55,Bannerughatta7,14th-15th Century,Cattle Raiding,12.8138,77.579796,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; unclear,Semi-moderate,1,Not inscribed
56,Bannerughatta8,14th-15th Century,Cattle Raiding,12.813802,77.579796,1,"M (dress, anatomy)",Not transported,Jain -- apparently clothless,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
57,Bannerughatta9,14th-15th Century,Skirmish,12.813805,77.579803,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
58,Basavanagudi1,15th-16th Century,Sati (Veera Masti),12.9428311,77.5681044,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear; unclear,Semi-moderate,1,Not inscribed
59,Begur (Nageshwara Temple)2,9th-10th Century,Skirmish,12.8766854,77.6263538,1 + dog,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Inscribed
60,Begur (Nageshwara Temple)3,9th-10th Century,Velevali,12.8766828,77.6263733,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear,Moderately elaborate,1,Inscribed
61,Begur (Now in Museum)1,9th-10th Century,Uralivu (Attack on village) and cattle raiding,12.9747645,77.5957933,1,"M (dress, anatomy)",Carried by arms by apsaras,Unclear,Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)",RH,Elaborately carved,3,Inscribed
62,Begur10,9th-10th Century,Unclear Cause,12.8767018,77.6263588,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
63,Begur11,9th-10th Century,Unclear Cause,12.876692,77.6263759,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
64,Begur12,9th-10th Century,Skirmish,12.8766926,77.6263712,1,"M (dress, anatomy)",Cannot say -- may have been part of a bigger panel,Unclear,Unclear,Royal rich??? -- lots of jewels and adorned horse,RH,Moderately elaborate,1???,Not inscribed
65,Begur5,9th-10th Century,Cattle Raiding,12.876681,77.6263796,2 (2M),"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; RH,Moderately elaborate,3,Inscribed
66,Begur6,9th-10th Century,Cattle Raiding,12.876671,77.6263531,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,2,Inscribed
67,Begur7,8th-9th Century,Skirmish,12.8766865,77.6263631,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,Royal rich??? -- lots of jewels and kingly headdress,RH,Moderately elaborate,2,Not inscribed
68,Begur8,13th-14th Century,Self Sacrifice,12.8766934,77.6263537,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Rich??? -- lots of jewels,M: unclear; F: LH,Moderately elaborate,1,Not inscribed
69,Begur9,9th-10th Century,Unclear Cause,12.8766989,77.6263665,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
70,Bellandur1,10th-11th Century,Sati (Veera Masti),12.9305556,77.6758889,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1 (both noble action and heaven shown on same panel),Not inscribed
71,Bengaluru at Lalbagh1,15th-16th Century,Sati (Veera Masti),12.949418,77.589955,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- lots of jewels -- possibly royal???,M: RH; F: Ambidextrous,Moderately elaborate,1,Not inscribed
72,Bengaluru at Lalbagh2,13th-14th Century,Sati,12.9492583,77.5898753,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: RH; F: RH; RH,Moderately elaborate,2,Not inscribed
