Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
229,NMKRV College1,15th-16th Century,Kuruba,12.9324444,77.5810833,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- lots of jewels,M: RH; F: LH,Moderately elaborate,1,Not inscribed
230,Peddanapalya1,14th-15th Century,Sati (Veera Masti),12.963867,77.389103,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols","RH, RH",Moderately elaborate,1,Not inscribed
231,Rahuthanahalli1,14th-15th Century,Skirmish,13.027844,77.415831,2 (2M),"M, M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous; ambidextrous,Semi-moderate,1,Not inscribed
232,Raj Bhavan (Now in Museum)1,15th-16th Century,Sati (Veera Masti),12.97475,77.5957778,4 (1M; 1F; 2 children),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: LH; F: RH; RH; RH,Moderately elaborate,1,Not inscribed
233,Ramasandra1,15th-16th Century,Sati,12.944422,77.466967,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Moderately rich??? -- jewels,RH; RH,Moderately elaborate,1,Not inscribed
234,Sabmangala1,14th-15th Century,Unclear Cause,12.70496,77.729917,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
235,Sabmangala2,14th-15th Century,Unclear Cause,12.70496,77.729917,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Poorly carved,1,Not inscribed
236,Sabmangala3,15th-16th Century,Sati,12.705035,77.7299455,3 (3F),Female (dress and anatomy),Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; RH; RH,Moderately elaborate,1,Not inscribed
237,Sadenahalli1,13th-14th Century,Boar Hunting,13.194355,77.573057,Dog,No representation,No representation,No representation,No representation,No representation,No representation,Moderately elaborate,1,Inscribed
238,Sadenahalli2,10th-11th Century,Skirmish,13.194355,77.573057,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
239,Sakalavara,8th-9th Century,Tiger,12.822248,77.6099,1,"M (dress, anatomy)",Transportation not shown,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Inscribed
240,Sampanigiram Nagar (Sri Sampigehalli Beereshwara Swamy)1,16th-17th Century,Kuruba,12.9677222,77.5960278,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Moderately wealthy,RH; LH,Elaborately carved,1,Not inscribed
241,Sarjapura1,10th-11th Century,Skirmish,12.859811,77.784832,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Semi-moderate,1,Not inscribed
242,Sarjapura10,14th-15th Century,Unclear Cause,12.855279,77.785067,1,"M (dress, anatomy)",Not transported,Hindu (Nandi bull on top of sculpture),Unclear,"Rich (hero on horse, elaborate weapon)",RH,Elaborately carved,2,Not inscribed
243,Sarjapura2,14th-15th Century,Sati,12.8557681,77.7886285,"3 (1M, 2F)","M, F (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- lots of jewels; horse which is decorated,RH; unclear; unclear,Elaborately carved,2,Not inscribed
244,Sarjapura3,15th-16th Century,Sati (Veera Masti),12.855471,77.785,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH; RH,Moderately elaborate,1,Not inscribed
245,Sarjapura4,15th-16th Century,Sati,12.855471,77.785,1,Female (dress and anatomy),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,1,Not inscribed
246,Sarjapura5,15th-16th Century,Sati,12.855471,77.785,1,Female (dress and anatomy),Not transported,Unclear,Not transported,Unclear,Unclear,Semi-moderate,1,Not inscribed
247,Sarjapura6,15th-16th Century,Sati,12.855471,77.785,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Semi-moderate,1,Not inscribed
248,Sarjapura7,15th-16th Century,Sati (Veera Masti),12.8554318,77.7850134,"4 (2M, 2F)","M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","M: RH, RH; F: RH, LH",Moderately elaborate,1,Not inscribed
249,Sarjapura8,15th-16th Century,Sati (Veera Masti),12.855857,77.784893,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Semi-moderate,1,Not inscribed
250,Sarjapura9,15th-16th Century,Sati (Veera Masti),12.8554318,77.7850134,"4 (2M, 2F)","M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","M: RH, RH; F: RH, LH",Moderately elaborate,1,Not inscribed
251,Satanuru_Yelahanka1,14th-15th Century,Unclear Cause,13.132278,77.648137,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Rich??? -- horse, but also few jewels (armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
252,Sidihosakote1,15th-16th Century,Skirmish,12.733065,77.690942,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Semi-moderate,1,Not inscribed
253,Sidihosakote10,15th-16th Century,Sati (Veera Masti),12.7294631,77.6879635,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,Unclear; unclear,Semi-moderate,1,Not inscribed
254,Sidihosakote11,15th-16th Century,Unclear Cause,12.7295469,77.6876845,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
255,Sidihosakote12,15th-16th Century,Unclear Cause,12.7294841,77.6880815,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Semi-moderate,1,Not inscribed
256,Sidihosakote13,15th-16th Century,Sati (Veera Masti),12.7294108,77.6881673,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous; ambidextrous,Moderately elaborate,1,Not inscribed
257,Sidihosakote14,15th-16th Century,Sati (Veera Masti),12.7294945,77.6878991,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Semi-moderate,1,Not inscribed
258,Sidihosakote15,15th-16th Century,Sati (Veera Masti),12.7294527,77.6877811,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear; RH,Moderately elaborate,1,Not inscribed
259,Sidihosakote16,15th-16th Century,Sati (Veera Masti),12.7295259,77.6875451,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
260,Sidihosakote17,14th-15th Century,Sati (Veera Masti),12.733072,77.690885,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; unclear,Semi-moderate,1,Not inscribed
261,Sidihosakote2,15th-16th Century,Sati (Veera Masti),12.733065,77.690942,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear; RH,Semi-moderate,1,Not inscribed
262,Sidihosakote3,15th-16th Century,Sati (Veera Masti),12.7330651,77.6909433,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear; unclear,Semi-moderate,1,Not inscribed
263,Sidihosakote4,15th-16th Century,Unclear Cause,12.7330692,77.6906699,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
264,Sidihosakote5,15th-16th Century,Unclear Cause,12.7295469,77.6874485,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
265,Sidihosakote6,15th-16th Century,Unclear Cause,12.7296306,77.6872017,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
266,Sidihosakote7,15th-16th Century,Self Sacrifice,12.7295678,77.687824,1,Female (dress and anatomy),Not transported,Hindu (Nandi bull and shivalinga on top of sculpture),Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,1,Not inscribed
267,Sidihosakote8,15th-16th Century,Unclear Cause,12.7294736,77.6876631,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Semi-moderate,1,Not inscribed
268,Sidihosakote9,15th-16th Century,Sati,12.7296306,77.6872983,1,Female (dress and anatomy),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
269,Singahalli1,14th-15th Century,Cattle Raiding,13.161053,77.725772,Cattle - 2,No representation,No representation,No representation,No representation,No representation,No representation,No representation,1,Not inscribed
270,Singahalli2,14th-15th Century,Skirmish,13.161053,77.7257412,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
271,Somanahalli1,14th-15th Century,Skirmish,12.770577,77.505226,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
272,Somanahalli2,10th-11th Century,Unclear Cause,12.772107,77.506426,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,1,Not inscribed
273,Sompura,9th-10th Century,Skirmish,12.867608,77.775851,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
274,Sondekoppa1,13th-14th Century,Sati (Okkai),13.018422,77.384253,No representation,No representation,Not transported,No representation,No representation,No representation,RH,Semi-moderate,1,Not inscribed
275,Sulikunte1,8th-9th Century,Unclear Cause,12.888315,77.728832,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Inscribed
276,Sulikunte2,8th-9th Century,Cattle Raiding,12.888682,77.728338,1,"M (dress, anatomy)",Carried by arms by apsaras,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,1,Inscribed
277,Sulikunte3,15th-16th Century,Unclear Cause,12.8883287,77.7266,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
278,Suryanagar1,16th-17th Century,Kuruba,12.790314,77.704416,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH, unclear",Moderately elaborate,1,Not inscribed
279,Taralu1,13th-14th Century,Unclear Cause,12.787331,77.522019,2 (2M),"M (dress, anatomy)",Transportation not shown,Unclear,Unclear,Moderately rich??? -- jewels,Ambidextrous,Moderately elaborate,1,Not inscribed
280,Taralu2,13th-14th Century,Unclear Cause -- fighting off wild animals,12.78733,77.52201,4 (3M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear; unclear; unclear; RH,Semi-moderate,1,Not inscribed
281,Tavarakere_BangaloreSouth1,9th-10th Century,Uralivu and Cattle Raiding,12.9646526,77.3950504,1,"M (dress, anatomy)",Carried by arms by apsaras,Hindu (temple façade on top),Unclear,"Poor - no jewels, horses, parasols",RH,Elaborately carved,3,Inscribed
282,Tavarakere_BangaloreSouth2,9th-10th Century,Uralivu and Cattle Raiding,12.96465,77.395042,1,"M (dress, anatomy)",Carried by arms by apsaras,Hindu (temple façade on top),Unclear,"Poor - no jewels, horses, parasols",RH,Elaborately carved,2,Inscribed
283,Tavarakere_BangaloreSouth3,9th-10th Century,Uralivu and Cattle Raiding,12.9646399,77.395041,1,"M (dress, anatomy)",Carried by arms by apsaras,"Hindu (apsaras in heaven, top of stone resembles temple)",Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Elaborately carved,3,Inscribed
284,Tavarakere_BangaloreSouth4,9th-10th Century,Uralivu and Cattle Raiding,12.9646448,77.3950279,1,"M (dress, anatomy)",Carried by arms by apsaras,"Hindu (apsaras in heaven, top of stone resembles temple)",Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Elaborately carved,3,Inscribed
285,Tindlu,14th-15th Century,Sati (Veera Masti),12.860434,77.7992619,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear; unclear,Semi-moderate,1,Not inscribed
286,Totagere1,8th-9th Century,Skirmish,13.13516,77.44743,1,"M (dress, anatomy)",Not transported,Unclear,Not clear,"Poor - no jewels, horses, parasols",RH,Poorly carved,1,Inscribed
287,Uganavadi1,10th-11th Century,Unclear Cause,13.238638,77.647516,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Inscribed
288,Uganavadi2,9th-10th Century,Skirmish,13.238638,77.647516,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
289,Uganavadi3,9th-10th Century,Skirmish,13.238638,77.647516,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
290,Vanakanahalli1,14th-15th Century,Sati (Veera Masti),12.671689,77.694987,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; LH; unclear,Semi-moderate,1,Not inscribed
291,Vijayanagara1,15th-16th Century,Sati (Veera Masti),12.9664102,77.5394384,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Not clear,"Moderately wealthy (necklaces, armlets, anklets)","RH, LH",Moderately elaborate,1,Not inscribed
292,Vijayanagara2,15th-16th Century,Sati (Veera Masti),12.96634854,77.539425,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Not clear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
293,Vijayanagara3,15th-16th Century,Unclear Cause,12.9664141,77.539484,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Not clear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Moderately elaborate,1,Not inscribed
294,Yamare1,15th-16th Century,Unclear Cause,12.876959,77.764838,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Not inscribed
295,Yelahanka1,9th-10th Century,Skirmish,13.0928744,77.5789661,1,"M (dress, anatomy)",Carried by arms by apsaras,Hindu (apsaras in heaven???),Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Not inscribed
296,Yelahanka2,9th-10th Century,Skirmish,13.108872,77.5975808,1,"M (dress, anatomy)",Carried by arms by apsaras,Hindu (apsaras in heaven???),Possible Brahmin -- triple cord -- dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,2,Not inscribed
297,Yelahanka3,9th-10th Century,Skirmish,13.097468,77.5776726,1,"M (dress, anatomy)",Transportation not shown -- with shivalinga in upper panel,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Not inscribed
298,Yelahanka4,9th-10th Century,Skirmish,13.1024326,77.5939149,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
299,Yelahanka5,9th-10th Century,Skirmish,13.1024391,77.5939324,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
300,Yelahanka6,9th-10th Century,Skirmish,13.1024639,77.5939472,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Not inscribed
301,Yelahanka7,9th-10th Century,Skirmish,13.1024706,77.5939242,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Not inscribed
