ID,Name,Date,Type,Latitude,Longitude
280,Taralu2,13th-14th Century,Unclear Cause -- fighting off wild animals,12.78733,77.52201
281,Tavarakere_BangaloreSouth1,9th-10th Century,Uralivu and Cattle Raiding,12.9646526,77.3950504
282,Tavarakere_BangaloreSouth2,9th-10th Century,Uralivu and Cattle Raiding,12.96465,77.395042
283,Tavarakere_BangaloreSouth3,9th-10th Century,Uralivu and Cattle Raiding,12.9646399,77.395041
284,Tavarakere_BangaloreSouth4,9th-10th Century,Uralivu and Cattle Raiding,12.9646448,77.3950279
285,Tindlu,14th-15th Century,Sati (Veera Masti),12.860434,77.7992619
286,Totagere1,8th-9th Century,Skirmish,13.13516,77.44743
287,Uganavadi1,10th-11th Century,Unclear Cause,13.238638,77.647516
288,Uganavadi2,9th-10th Century,Skirmish,13.238638,77.647516
289,Uganavadi3,9th-10th Century,Skirmish,13.238638,77.647516
290,Vanakanahalli1,14th-15th Century,Sati (Veera Masti),12.671689,77.694987
291,Vijayanagara1,15th-16th Century,Sati (Veera Masti),12.9664102,77.5394384
292,Vijayanagara2,15th-16th Century,Sati (Veera Masti),12.96634854,77.539425
293,Vijayanagara3,15th-16th Century,Unclear Cause,12.9664141,77.539484
294,Yamare1,15th-16th Century,Unclear Cause,12.876959,77.764838
295,Yelahanka1,9th-10th Century,Skirmish,13.0928744,77.5789661
296,Yelahanka2,9th-10th Century,Skirmish,13.108872,77.5975808
297,Yelahanka3,9th-10th Century,Skirmish,13.097468,77.5776726
298,Yelahanka4,9th-10th Century,Skirmish,13.1024326,77.5939149
299,Yelahanka5,9th-10th Century,Skirmish,13.1024391,77.5939324
300,Yelahanka6,9th-10th Century,Skirmish,13.1024639,77.5939472
301,Yelahanka7,9th-10th Century,Skirmish,13.1024706,77.5939242
